number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_ffn_multiplier,params_hidden_dim,params_lr,params_num_heads,params_num_lstm_layers,params_num_trans_layers,params_weight_decay,state
84,0.00017780587950255722,2026-03-12 16:43:25.669514,2026-03-12 16:43:29.697037,0 days 00:00:04.027523,128,0.34939214327098017,2,128,0.004018481979788824,4,1,2,3.357271870945976e-05,COMPLETE
85,0.0002153808636649046,2026-03-12 16:43:29.765037,2026-03-12 16:43:31.354524,0 days 00:00:01.589487,128,0.37004224624498594,2,128,0.00136398384961944,4,1,2,1.0046012850535724e-05,PRUNED
86,0.00018101601745001972,2026-03-12 16:43:31.424523,2026-03-12 16:43:35.136352,0 days 00:00:03.711829,128,0.4133486652998143,2,128,0.002460687982556421,4,1,2,2.3661949864976346e-05,COMPLETE
87,0.0004365998652896711,2026-03-12 16:43:35.211350,2026-03-12 16:43:37.930823,0 days 00:00:02.719473,64,0.33295934094027385,2,128,0.003182756473982135,4,1,2,1.661206722722663e-05,PRUNED
88,0.0015211791542242281,2026-03-12 16:43:38.001809,2026-03-12 16:43:39.881204,0 days 00:00:01.879395,128,0.43640422833596776,2,128,0.004302273868391821,4,2,2,0.00016473759250749641,PRUNED
89,0.0005793630116386339,2026-03-12 16:43:39.950862,2026-03-12 16:43:41.501026,0 days 00:00:01.550164,128,0.39436694405194334,2,128,0.00027235631099173076,4,1,2,1.3019046820631899e-05,PRUNED
90,0.00031469486358608786,2026-03-12 16:43:41.571026,2026-03-12 16:43:46.972040,0 days 00:00:05.401014,32,0.3845141781371698,2,64,0.0021070876593558305,4,1,2,1.9307353929449276e-05,PRUNED
91,0.00017290290270466357,2026-03-12 16:43:47.040428,2026-03-12 16:43:53.512255,0 days 00:00:06.471827,128,0.3638926741313143,2,128,0.003195008418474345,4,1,2,1.2946905054496618e-05,COMPLETE
92,0.0001716239785309881,2026-03-12 16:43:53.580429,2026-03-12 16:43:59.479374,0 days 00:00:05.898945,128,0.36642309039759335,2,128,0.0026609849428969267,4,1,2,1.5177579197497601e-05,COMPLETE
93,0.00016811598834465258,2026-03-12 16:43:59.550590,2026-03-12 16:44:06.008783,0 days 00:00:06.458193,128,0.3795340156308838,2,128,0.00269003880388775,4,1,2,3.0126168029946737e-05,COMPLETE
94,0.0005696860753232613,2026-03-12 16:44:06.081783,2026-03-12 16:44:07.548543,0 days 00:00:01.466760,128,0.4054362131294832,2,128,0.0025859162391479503,4,1,2,3.052654787240885e-05,PRUNED
95,0.00022317593538900837,2026-03-12 16:44:07.616726,2026-03-12 16:44:09.153509,0 days 00:00:01.536783,128,0.45128664088042686,2,128,0.001564786474747467,4,1,2,4.6858944084895646e-05,PRUNED
96,0.00047523080502287485,2026-03-12 16:44:09.223636,2026-03-12 16:44:10.888134,0 days 00:00:01.664498,128,0.3791518350587805,2,32,0.0026906459227707207,4,1,2,2.4248739734948825e-05,PRUNED
97,0.0011386759288143367,2026-03-12 16:44:10.958987,2026-03-12 16:44:12.381862,0 days 00:00:01.422875,256,0.46165334359259047,2,128,0.0038388945154786865,4,1,2,6.980484514059122e-05,PRUNED
98,0.00022350833751261234,2026-03-12 16:44:12.448862,2026-03-12 16:44:14.030653,0 days 00:00:01.581791,128,0.4181552885048944,2,128,0.004313778841802049,4,1,2,3.947714783151256e-05,PRUNED
99,0.0001741748164931778,2026-03-12 16:44:14.103148,2026-03-12 16:44:20.205095,0 days 00:00:06.101947,128,0.44094724029387705,2,128,0.00208222826043731,8,1,2,5.9204415858994455e-05,COMPLETE
100,0.0002879144303733483,2026-03-12 16:44:20.278716,2026-03-12 16:44:21.815770,0 days 00:00:01.537054,128,0.43447074432861715,2,128,0.001327232425921917,4,1,2,1.87602737532091e-05,PRUNED
101,0.00022580495715374127,2026-03-12 16:44:21.886770,2026-03-12 16:44:23.456711,0 days 00:00:01.569941,128,0.34357328887282235,2,128,0.0035565489299815086,4,1,2,1.5295899878717046e-05,PRUNED
102,0.00017455711349612102,2026-03-12 16:44:23.524705,2026-03-12 16:44:32.258904,0 days 00:00:08.734199,128,0.3713868459392213,2,128,0.002988039144143132,4,1,2,2.9083853460307423e-05,COMPLETE
103,0.00030614074057666585,2026-03-12 16:44:32.332659,2026-03-12 16:44:33.849702,0 days 00:00:01.517043,128,0.3499852069915907,2,128,0.0037622338615802397,4,1,2,0.000778844603162942,PRUNED
104,0.00025443327467655763,2026-03-12 16:44:33.918394,2026-03-12 16:44:35.452208,0 days 00:00:01.533814,128,0.3346317028573046,2,128,0.004973966114379828,4,1,2,1.2271306810279282e-05,PRUNED
105,0.00037929379686829634,2026-03-12 16:44:35.522208,2026-03-12 16:44:37.049568,0 days 00:00:01.527360,128,0.3666589710271481,2,128,0.002405464072594156,4,1,2,2.1760668182545404e-05,PRUNED
106,0.001059999776771292,2026-03-12 16:44:37.117574,2026-03-12 16:44:38.665425,0 days 00:00:01.547851,128,0.30800547349205576,2,128,0.0017933757652495276,4,1,2,1.5962592637118498e-05,PRUNED
